,Unnamed: 0,domain,id,id_str,party,screen_name,state
11287,11287,1.0,1629838772,1629838772,BJP,KaushalDaveDk,Gujarat
6762,6762,1.0,3767840414,3767840414,BJP,ssschauhan13,Uttar Pradesh
17662,17662,1.0,1970171502,1970171502,BJP,saikumarakula2,Maharashtra
18379,18379,,924987338110808064,924987338110808064,BJP,Meetrajsinhbjym,To Be Added
15737,15737,1.0,868840407827927040,868840407827927040,BJP,maharaj_anshul,Madhya Pradesh
7188,7188,1.0,2569992123,2569992123,BJP,NishankGarg4,Uttar Pradesh
12182,12182,1.0,824649505974996992,824649505974996992,BJP,NiteshKhare7,Gujarat
13528,13528,1.0,992072353218613248,992072353218613248,BJP,TalibSh46426810,Jammu and Kashmir
13208,13208,1.0,701639596396818433,701639596396818432,BJP,Ashishsharma_29,Himachal Pradesh
6975,6975,1.0,593473758,593473758,BJP,ashishmauarya,Uttar Pradesh
5903,5903,1.0,944097717692723200,944097717692723200,BJP,ChummanSahu17,Chhattisgarh
6280,6280,1.0,938286350142529537,938286350142529536,BJP,ChampaDeviPawle,Chhattisgarh
11878,11878,1.0,4474571173,4474571173,BJP,NIRAVDAVE9126,Gujarat
19879,19879,,2316603348,2316603348,BJP,SWAP7PATEL,To Be Added
31093,31093,,1046027130491088906,1046027130491088896,BJP,munenakoppa_mla,To Be Added
6957,6957,1.0,2357886218,2357886218,BJP,ashokkrgoyalbjp,Uttar Pradesh
23417,23417,,939100219639074816,939100219639074816,BJP,TrishalaSH91,To Be Added
29405,29405,,1537188984,1537188984,BJP,OdishaStateBJP,To Be Added
3259,3259,1.0,1259456795711401987,1259456795711401984,BJP,RamgopalSuthar,Rajasthan
23605,23605,,775702069781159936,775702069781159936,BJP,NileshPatel8488,To Be Added
15314,15314,1.0,759660774071558144,759660774071558144,BJP,Karan4BJP,Madhya Pradesh
15610,15610,1.0,175663999,175663999,BJP,brijesh_upadhya,Madhya Pradesh
12296,12296,1.0,982971385852121088,982971385852121088,BJP,GajendraLabana3,Gujarat
3145,3145,1.0,303990125,303990125,BJP,dparam4BJP,Rajasthan
20962,20962,,945385010495873025,945385010495873024,BJP,DrNishaSaxena,To Be Added
11149,11149,1.0,395319498,395319498,BJP,ChintanMehtaCM,Gujarat
15715,15715,1.0,1076456768350281728,1076456768350281728,BJP,LalawatRocky,Madhya Pradesh
13175,13175,1.0,2663468724,2663468724,BJP,abvphp,Himachal Pradesh
9530,9530,1.0,729256273149976576,729256273149976576,BJP,durgeshabvpjnu,Delhi
5858,5858,1.0,962574864526729216,962574864526729216,BJP,abvp4bilaspur,Chhattisgarh
12664,12664,1.0,4750092015,4750092015,BJP,Meenaparmar1977,Haryana
9161,9161,1.0,762611668681568257,762611668681568256,BJP,DrSubhashMoS,Delhi
32140,32140,,847839610914848769,847839610914848768,BJP,bhavin_bjp,To Be Added
11872,11872,1.0,740183851415273472,740183851415273472,BJP,AjayPatel0105,Gujarat
8107,8107,1.0,811083591593639937,811083591593639936,BJP,i_dineshchauhan,Uttarakhand
32268,32268,,1066302270558486533,1066302270558486528,BJP,assam_bjp,To Be Added
27475,27475,,760369057359097856,760369057359097856,BJP,thakurarunbjp,To Be Added
25213,25213,,828925316668198912,828925316668198912,BJP,SatishKumarKou1,To Be Added
17582,17582,1.0,366189960,366189960,BJP,mukeshmishra207,Maharashtra
15365,15365,1.0,4758531612,4758531612,BJP,Murlidhar_Bjp,Madhya Pradesh
2307,2307,1.0,1001478435083030528,1001478435083030528,BJP,RoulSanjeeb,Odisha
19974,19974,,1004326299400224769,1004326299400224768,BJP,Krishna25724422,To Be Added
11689,11689,1.0,4014327259,4014327259,BJP,Smit_B_Patel,Gujarat
23462,23462,,707887894522888192,707887894522888192,BJP,SmitDes28214494,To Be Added
16771,16771,1.0,70121276,70121276,BJP,SidShirole,Maharashtra
10959,10959,1.0,4235895166,4235895166,BJP,pagareharish1,Gujarat
31429,31429,,1083744705576202244,1083744705576202240,BJP,Sstawde,To Be Added
6242,6242,1.0,1702394346,1702394346,BJP,Rupak91Rupak,Tripura
17367,17367,1.0,1319017560,1319017560,BJP,PandeyNachiketa,To Be Added
11799,11799,1.0,739844528,739844528,BJP,VaishalOfficial,Gujarat
24669,24669,,4906263278,4906263278,BJP,BjpRajora,To Be Added
14973,14973,1.0,973423814133493760,973423814133493760,BJP,AbvpCucek,Kerala
9765,9765,1.0,987620749488939008,987620749488939008,BJP,atulguptabjp,Delhi
14284,14284,1.0,2654329412,2654329412,BJP,MouryaBjp,Karnataka
20936,20936,,887622416591196160,887622416591196160,BJP,anand_muskaan,To Be Added
32314,32314,,2438388152,2438388152,BJP,divyaraj9021,To Be Added
3054,3054,1.0,103148549,103148549,BJP,akhileshconsul,Rajasthan
32274,32274,,1021374197648449537,1021374197648449536,BJP,RMuniyandi7,To Be Added
7007,7007,1.0,890117557755236352,890117557755236352,BJP,kanpur_ashish,Uttar Pradesh
8563,8563,1.0,770521393637318656,770521393637318656,BJP,Somnath84415894,West Bengal
18350,18350,,224127469,224127469,BJP,mahendrabjp,To Be Added
20169,20169,,1657496262,1657496262,BJP,Ghanshyamdasagr,To Be Added
3685,3685,1.0,906410163602579456,906410163602579456,BJP,Sunnybhatt9033,Gujarat
7195,7195,1.0,982508254491062272,982508254491062272,BJP,RamsantS,Uttar Pradesh
13304,13304,1.0,1677335802,1677335802,BJP,sunilthakurbjym,Himachal Pradesh
2870,2870,1.0,792962693732954112,792962693732954112,BJP,P97231464,To Be Added
26446,26446,,787209954490998784,787209954490998784,BJP,Ragavankottur,To Be Added
12127,12127,1.0,1092582498,1092582498,BJP,mohitpatelbjp,Gujarat
11787,11787,1.0,1710036487,1710036487,BJP,amitpatel1903,Gujarat
12641,12641,1.0,2739792488,2739792488,BJP,ChBirenderBJP,Haryana
193,193,1.0,803222883782643712,803222883782643712,BJP,jitubhandup,Maharashtra
15569,15569,1.0,707937186872688641,707937186872688640,BJP,onlinesubodh,Madhya Pradesh
19196,19196,,785924988444389376,785924988444389376,BJP,Bjp4Bhavnagar,To Be Added
26341,26341,,4707218680,4707218680,BJP,vinaysi22996210,To Be Added
3385,3385,1.0,876371641344737280,876371641344737280,BJP,ramukotakonda,Telangana
15583,15583,1.0,833735861699223552,833735861699223552,BJP,Mayuresh9677,Madhya Pradesh
11472,11472,1.0,483726793,483726793,BJP,MitNaik007,Gujarat
29420,29420,,3221251555,3221251555,BJP,milinddharwad,To Be Added
9138,9138,1.0,250677217,250677217,BJP,aniljaindr,Delhi
9333,9333,1.0,575325061,575325061,BJP,Modifiedanand,To Be Added
20885,20885,,727938224253886464,727938224253886464,BJP,MYadavOfficial,To Be Added
12017,12017,1.0,4492548496,4492548496,BJP,NikhiLBhagora1,Gujarat
26201,26201,,852095226760089600,852095226760089600,BJP,LarokarK,To Be Added
3093,3093,1.0,847684652676468736,847684652676468736,BJP,Devchoudhay6464,Rajasthan
3195,3195,1.0,994318350,994318350,BJP,manthanp96,Rajasthan
11583,11583,1.0,356052123,356052123,BJP,Rajendradabhi,Gujarat
17142,17142,1.0,2284465296,2284465296,BJP,BajpaiUsha,Maharashtra
6541,6541,1.0,700646845,700646845,BJP,MohitBeniwalBJP,Uttar Pradesh
2300,2300,1.0,1009642404457009152,1009642404457009152,BJP,ParsuramPatel4,Odisha
20097,20097,,879538805149138944,879538805149138944,BJP,NARAYANDASBJP,To Be Added
6291,6291,1.0,140737357,140737357,BJP,Nav4neet,Chhattisgarh
9407,9407,1.0,781495553284775936,781495553284775936,BJP,nakul_bjp,Delhi
16908,16908,1.0,757907924563787776,757907924563787776,BJP,Subhash53806702,Maharashtra
8543,8543,1.0,880426816460251137,880426816460251136,BJP,RiteshSingh1985,West Bengal
32475,32475,,852455790250041344,852455790250041344,BJP,HardeepSamkriya,To Be Added
16390,16390,1.0,910343325001093120,910343325001093120,BJP,saketbihariBjym,Bihar
10826,10826,1.0,1603871420,1603871420,BJP,samirbjp,Gujarat
32738,32738,,106715286,106715286,BJP,BGV999,To Be Added
22670,22670,,1156263560,1156263560,BJP,ravi4nation,To Be Added
16565,16565,1.0,1664992976,1664992976,BJP,BJPSanjayJoshi,Maharashtra
12366,12366,1.0,1958869423,1958869423,BJP,abid_sosan,Gujarat
3246,3246,1.0,799955497361272832,799955497361272832,BJP,pandit_jalebjp,Rajasthan
12035,12035,1.0,2447278862,2447278862,BJP,rsbharvad16,Gujarat
30105,30105,,1374274436,1374274436,BJP,MayurRangani,To Be Added
24491,24491,,874699197164826624,874699197164826624,BJP,NabamMavan,To Be Added
11763,11763,1.0,2301413004,2301413004,BJP,choudharysumara,Gujarat
12389,12389,1.0,714415208278528000,714415208278528000,BJP,DubeyYajuvendra,Gujarat
14344,14344,1.0,313385782,313385782,BJP,teamfoxride,Karnataka
15773,15773,1.0,2457669752,2457669752,BJP,lateshmeet,Madhya Pradesh
11729,11729,1.0,846299769182044160,846299769182044160,BJP,idhawalbjp,Gujarat
3382,3382,1.0,935209896500281344,935209896500281344,BJP,Akhiles37963520,Rajasthan
28053,28053,,1049668342531874816,1049668342531874816,BJP,VidyaBhardwaj4,To Be Added
27087,27087,,982782596105908224,982782596105908224,BJP,AbhileshThakkar,To Be Added
8472,8472,1.0,796940627061506048,796940627061506048,BJP,Shambhu_bjp,West Bengal
27621,27621,,1043096056337186816,1043096056337186816,BJP,JayeshP31805858,To Be Added
11577,11577,1.0,2601799248,2601799248,BJP,pankajmchandak1,To Be Added
9650,9650,1.0,804634193082785794,804634193082785792,BJP,ShaheenSaini,Delhi
8054,8054,1.0,2467635216,2467635216,BJP,MLAPremAggarwal,Uttarakhand
21866,21866,,3274824284,3274824284,BJP,bjpamoljadhav,To Be Added
15454,15454,1.0,876798489036025856,876798489036025856,BJP,DhirajPatidar18,Madhya Pradesh
9486,9486,1.0,1266729811440996353,1266729811440996352,BJP,BjymG,Delhi
26006,26006,,125629198,125629198,BJP,satyaranjanbora,To Be Added
11132,11132,1.0,773953073559511040,773953073559511040,BJP,BJPVirendrasinh,Gujarat
3062,3062,1.0,713432100310028288,713432100310028288,BJP,PuspJain,Rajasthan
9165,9165,1.0,243852862,243852862,BJP,DushyantDholpur,Delhi
20691,20691,,828965900254576641,828965900254576640,BJP,ChavdaBjp,To Be Added
15682,15682,1.0,873202662875041793,873202662875041792,BJP,RakeshR98154849,Madhya Pradesh
28991,28991,,766907742779019264,766907742779019264,BJP,kapilsharma658,To Be Added
27949,27949,,1015935139749089280,1015935139749089280,BJP,Kamlesh09219347,To Be Added
12436,12436,1.0,884696041102000128,884696041102000128,BJP,AnkitRadadiya14,Gujarat
11317,11317,1.0,1042016882,1042016882,BJP,PruthvishPandya,Gujarat
23078,23078,,1962864890,1962864890,BJP,naveenybw,To Be Added
11668,11668,1.0,865838850496753664,865838850496753664,BJP,rohitrnb93,Assam
24636,24636,,118745642,118745642,BJP,erdevinderrana,To Be Added
19106,19106,,735770248939347969,735770248939347968,BJP,Gautamgauswami_,To Be Added
26622,26622,,219249052,219249052,BJP,ivishalParmar,To Be Added
11919,11919,1.0,938995787547123712,938995787547123712,BJP,Ajaypra90327030,Gujarat
2201,2201,1.0,1011848957251600384,1011848957251600384,BJP,AjMishra15,Odisha
12526,12526,1.0,999313259441336320,999313259441336320,BJP,PrinceC76971401,Gujarat
22693,22693,,1081438497590951937,1081438497590951936,BJP,TiriTaring,To Be Added
7062,7062,1.0,3323864484,3323864484,BJP,krishan0501,Uttar Pradesh
2327,2327,1.0,862397585654415360,862397585654415360,BJP,SwainJayanti,Overseas
15322,15322,1.0,323735187,323735187,BJP,ChetanyaKasyap,Madhya Pradesh
12359,12359,1.0,951755880,951755880,BJP,Imran__Malek,Gujarat
21607,21607,,365348207,365348207,BJP,manji_ahir,To Be Added
16700,16700,1.0,935837887060369408,935837887060369408,BJP,iBhanuAditya,Bihar
